C00196774|09182017|1000|2|2000
C00196774|09252017|500|1|500
C00196774|09272017|100|1|100
C00196774|09282017|10|2|20
C00196774|09292017|500|4|2500
C00329896|09082017|13|4|75
C00329896|09092017|10|1|10
C00329896|09102017|48|2|95
C00329896|09112017|60|8|3126
C00329896|09122017|1000|2|2000
C00329896|09172017|10|2|20
C00329896|09182017|50|1|50
C00329896|09202017|10|2|20
C00329896|09222017|10|1|10
C00329896|09232017|10|1|10
C00329896|09242017|5|5|40
C00329896|09252017|10|2|20
C00329896|09262017|8|1|8
C00329896|09272017|10|1|10
C00329896|09282017|8|4|30
C00329896|09292017|10|1|10
C00329896|09302017|160|1|160
C00384529|09192017|500|1|500
C00384529|09262017|750|4|3000
C00384529|09282017|500|1|500
C00420760|09082017|138|2|275
C00420760|09102017|500|1|500
C00420760|09112017|1200|4|5100
C00420760|09132017|100|1|100
C00420760|09142017|500|1|500
C00420760|09182017|1000|21|32675
C00420760|09192017|1000|7|5250
C00420760|09212017|500|1|500
C00420760|09232017|50|1|50
C00420760|09252017|2700|1|2700
C00420760|09262017|1000|1|1000
C00420760|09272017|550|6|4950
C00420760|09292017|275|4|1075
C00420760|09302017|1000|5|4000
C00476317|09162017|25|1|25
C00548289|09112017|500|8|8135
C00548289|09122017|500|5|4700
C00548289|09132017|2700|3|2700
C00548289|09142017|750|1|750
C00548289|09152017|1500|12|17950
C00548289|09202017|500|9|4000
C00548289|09212017|1000|2|2000
C00548289|09222017|275|8|6950
C00548289|09232017|1000|1|1000
C00548289|09252017|1750|8|13100
C00548289|09262017|2700|1|2700
C00548289|09272017|2350|6|10600
C00548289|09282017|275|2|550
C00548289|09292017|2400|34|54350
C00548289|09302017|1000|15|20250
C00570994|09222017|17|1|17
C00570994|09292017|1375|2|2750
C00570994|09302017|125|2|250
